category,title,description
Advertising and Marketing,Digital Marketing Manager,"Slack is looking for a growth-minded digital marketer to drive our lead generation efforts through paid channels. The role will partner closely with the North American Enterprise Demand Generation team to define strategies, experiments, and resourcing to achieve North America pipeline targets.

The ideal candidate is a storyteller who seeks to know their audience and crafts compelling programs to inspire action. Precise user segmentation, experiment design, and flawless execution are part of your DNA.

We are looking for a proven track record of driving key business metrics, measurable experimentation pipelines, and winning paid digital programs. There will be a high degree of collaboration with other teams, to plan and execute projects across audiences and objectives (events, campaigns, nurture, and more). Hands-on expertise with multiple channels is essential: SEM, Programmatic, Paid social, Content syndication, ABM.

Slack has a positive, diverse, and supportive culture?we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?

What you will be doing
• Create and manage enterprise paid digital strategy and execution to achieve North America pipeline targets
• Define paid digital resourcing needs and manage agency and vendor relationships
• Managing paid campaign setup, testing, deployment, and reporting, including measurement and tracking to performance metrics
• Develop a deep empathy for our enterprise buyers across relevant personas and industries
• Collaborate with Brand, Growth, and Regional teams to ensure that our messaging is consistent and on-brand at every touchpoint
• Continuously A/B test channels, messages, creative, and landing pages for performance
• Report out on program results, presenting to executive leadership and cross-functional stakeholders

What you should have
• Track record of success in prior paid digital, demand gen, or growth roles at a fast growing technology company
• Mastery of paid digital channels, tools, and best practices. Experience with content syndication programs a big plus
• A desire to continuously measure, iterate, and improve programs and processes. SQL proficiency strongly preferred
• Experience working in a fast-paced, high-growth environment where resourcefulness is important
• Familiarity with enterprise marketing/sales funnels and ABM strategies
• Experience with digital marketing to an enterprise, B2B audience

Slack is registered as an employer in many, but not all, states. If you are not located in or able to work from a state where Slack is registered, you will not be eligible for employment.Visa sponsorship may not be available in certain remote locations.

Visa sponsorship is not available for candidates living outside the country of this position.

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records"
Advertising and Marketing,"(USA) Director, Advertising Sales","Position Summary...

What you'll do

Sam’s Club Media Group is seeking an experienced Ad Tech Partnerships Lead to help educate, liaise, and partner with SMG’s growing Ad Tech Partners and with Sam’s Club’s product, engineering, and business operations teams. We are looking for demonstrated performance in a constantly changing, ambiguous environment, and problem-solving leadership with limited oversight.

The Ad Tech Partnerships Lead [who reports into the Head of Advertising & Partnerships] will provide ongoing consultative business support to key ad tech partners to help grow their businesses while assuring end client success.

This role also leads and drives special projects that influence the overall adoption of various businesses [search, self-service platforms] and services.

S/he will build and lead a high-caliber team in a business that is experiencing rapid and dramatic growth.

Responsibilities
• Serve as the lead strategist for self-service platforms to drive adoption with suppliers
• Serve as the lead partner to our Ad Tech partners
• Increase the effectiveness of the team by recognizing opportunities for new approaches
• Coordinate with other teams, prioritizing their involvement, needs and activation
• Drive product adoption and provide ongoing education about new and existing SMG ad products and encourage innovation
• Collaborate with cross-functional colleagues to provide consultative services to SMG sales and account management teams whose clients are implementing partner solutions/tools in market
• Be the thought leader at SMG by funneling Partner Developer Programs/platform insights and product feedback, influencing roadmaps where necessary
• Be the advocate for Sales to both assist in the development of growth strategies for advertisers and suppliers
• Work with Sales & execution team to set goals, actively measure impact of initiatives and ensure alignment with broader business teams
• Lead strategic and technical product development integration efforts from concept to launch. Work closely with other teams to prioritize a structure partnership based on a shared roadmap
• Work closely with our product team on the product vision and roadmap
• Prioritize and structure partnerships based on product a shared roadmap
• Track, analyze, and report key quantitative metrics both day-to-day and in quarterly business review format
• Identify trends and evolving needs, develop programmatic tools and resources to improve efficiency Minimum Qualification
• 10+ years of client facing experience in business development, ad tech partnerships, product management for search, ecommerce marketplace
• High analytical skill set with an MBA as a plus
• Experience leading performing teams and mentoring others
• Ability to succinctly and easily explain ad tech language and ideas to a retail/merchant organization
• Ability to achieve and exceed deadlines
• Project management experience, including multitasking to lead and execute multiple projects in parallel Preferred Qualification
• Knowledge of API developer products, technology, marketplace dynamics, search industry
• Ability to translate complexity into action plans and communication in a succinct manner
• Ability to work cross-functionally with peers and managers, both internally/externally
• Experience working in a fast-paced and collaborative environment
• BA/BS with excellent academic performance (or equivalent experience), and MBA
• Deep passion building great products, startups, developer/partner ecosystem and the business of innovation

Minimum Qualifications...

Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.

Bachelor’s degree in Marketing, Business, Advertising, Consumer Psychology, or related field and 7 years' experience advertising sales, advertising, sales, or related field OR 10 years' experience advertising sales, advertising, sales, or related field.

Preferred Qualifications...

Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.

Brand advertising (for example, TV or video, sponsorship), media sales, customer acquisition and growth, search, mobile and online sales, Managing high performing teams, Shopper marketing sales, eCommerce sales, retail advertising sales

Masters: Advertising, Masters: Business, Masters: Marketing, Masters: Psychology

Primary Location...
2101 SE SIMPLE SAVINGS DR, BENTONVILLE, AR 72712-4304, United States of America"
Advertising and Marketing,Account Coordinator- Advertising & Marketing,"We have an immediate opening for an Account Coordinator to support the increasing demands for our knowledge of the products and brands we represent.

In this role, you will train directly with a mentor and have daily checkpoints with your manager. Training and development includes, but is not limited to, the following areas

Talent Acquisition: We firmly believe that if you are skilled in effectively passing on knowledge, you have services from our growing client base. In an environment founded on support, teamwork, and growth opportunities; we offer our employees more than just a job. Our focus is to equip each of our team members with a multifaceted skill set to position them for growth opportunities.

Business Development: At the fundamental level, sales and customer acquisition drive our firm’s growth. You will learn sales techniques, the art of conversation, consumer psychology, and develop innate leadership abilities. Our team of professionals will train you on how to attract talent, mentor another individual, set goals for them, motivate them, and support their goals.

Operations: Once you master the areas of Business Development and Talent Acquisition, you will have the opportunity to train hand in hand with our Managing Partner to learn how to oversee the operations of the firm. This is a first hand look into managing the finances, the inventory, the firm’s online presence, and more.

Requirements:
• 0 - 3 years of experience in hospitality, restaurants, sales, and/or customer service
• Strong command of public speaking
• Excellent interpersonal skills
• Must be assertive and confident
• Strong business acumen
• Professional appearance and demeanor
• Positive attitude
• Career oriented with long term goals
• Entrepreneurial mindset
• Competitive and self motivated"
Advertising and Marketing,"Account Strategist, Digital Advertising Sales, Google Customer Solutions","Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google advertising solution works for all. Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing businesses grow. Using your relationship-building skills, you provide Google-caliber client service, research and market analysis. You anticipate how decisions are made, persistently explore and uncover the business needs of Google's key clients and understand how our range of product offerings can grow their business. Working with them, you set the vision and the strategy for how their advertising can reach thousands of users.

Google Customer Solutions (GCS) sales teams are trusted advisors and
competitive sellers who maintain a relentless focus on customer success by bringing the best Google has to offer. Account Strategists are responsible for driving advertising growth by educating, providing solutions and consulting with agencies directly. GCS Sales team members are extremely proactive, data-driven, team-oriented and enthusiastic about our fast-paced environment.

GCS Sales Account Strategists work across multiple business units,
including but not limited to: Agency Sales, Mid-Market Sales, New Business Sales, Channel Sales.

When our millions of advertisers and publishers are happy, so are we! Our Google Customer Solutions (GCS) team of entrepreneurial, enthusiastic and client-focused members are the ""human face"" of Google, helping entrepreneurs both individually and broadly build their online presence and grow their businesses. We are dedicated to growing the unique needs of advertising companies. Our teams of strategists, analysts, advisers and support specialists collaborate closely to spot and analyze customer needs and trends. In collaboration, we create and implement business plans broadly for all types of businesses"
Media Communications,"Director, Strategic Communications","Position:
Director, Strategic Communications
Job Description

Arrow Electronics has an exciting new opportunity in our Marketing Communications team, located in our Centennial, Colorado headquarters.

The Director, Strategic Communications, is responsible for creating and providing high-quality marketing communications content aligned with Arrow’s consumer-grade brand. Reporting to the Vice President of Global Communications, this content includes external and internal messaging, and initiatives related to communicating the company’s global brand driven activities.

What You’ll Be Doing
• Develop and create consumer-grade marketing communications materials aligned to the company’s brand language/voice in support of the company’s business strategy.
• Assist with delivering PR/media relations results against key metrics, particularly as it relates to technology news platforms such as tech-forward outlets, including The Verge, TechTarget, etc.
• Ensure alignment of content and initiatives with Arrow’s global brand and its external and internal channels.
• Assist with the implementation of the company’s communications and marketing strategies for the Americas, EMEA, and Asia-Pacific regions.

What You’ll Need
• Typically requires a minimum of 15 years of related experience with a 4 year degree; or 12 years and an advanced degree; or equivalent experience.
• Bachelor’s degree in communications or related graduate degree a plus.
• Seven to 10 years of experience in agency, Fortune 500 corporate communications or equivalent outside experience.
• International experience is a plus.
• Strong relationship-building skills with the ability to gain support for content strategies and processes.
• Excellent written, analytical and presentation skills.
• Proven track record developing and executing effective PR/media relations and marketing content and strategies.
• Experience in working and communicating effectively across countries and regions.
• Ability to understand and communicate complex issues clearly and accurately.
• Ability to work at the strategic, operational, and tactical levels, understanding how the “pieces fit together.”
• Knowledge and experience in the technology industry desirable
• Decisive and a bias for action.
• High degree of personal integrity.
• Ability to work independently, at times with minimal guidance.

What’s In It For You

At Arrow, we recognize that financial rewards and great benefits are important aspects of an ideal job. That’s why we offer competitive financial compensation, including various compensation plans, and a solid benefits package.
• Medical, Dental, Vision Insurance
• 401k, With Matching Contributions
• Paid Time Off
• Health Savings Account (HSA)/Health Reimbursement Account (HRA) Options
• Growth Opportunities
• Short-Term/Long-Term Disability Insurance
• For Denver-based candidates:
• Discounted RTD Passes, with convenient office location off RTD Light Rail (Dry Creek Exit)
• On-site Café with Catering Option for Busy Lifestyles (availability subject to COVID-19 office guidelines)
• 24/7/365 On-site Gym and Lockers, Free for Use to All Employees! (availability subject to COVID-19 office guidelines)
• Bike Racks
• And more!

Annual Hiring Range/Hourly Rate:

$168,750.00 - $206,250.00

Actual compensation offer to candidate may vary from posted hiring range based upon geographic location, work experience, education, and/or skill level. The pay ratio between base pay and target incentive (if applicable) will be finalized at offer.

Location:
US-CO-Denver, Colorado (E Dry Creek Rd)
Time Type:
Full time
Job Category:
Marketing and Communications

EEO Statement:

Arrow is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, gender, age, sexual orientation, gender identity, national origin, veteran or disability status. (Arrow EEO/AAP policy)

Arrow COVID-19 Vaccination Policy:

Arrow requires employees to provide proof of full COVID-19 vaccination by:
• December 1, 2021, for all positions located in CO and for business units within immixGroup and Zeus.
• All other employees will be required to identify vaccination status by December 1, 2021, and provide proof of full vaccination by January 3, 2022"
Media Communications,Admin Communications Specialist,"Are you someone that is creative and loves to be on Social Media? We have an Admin Communication Specialist position open at a non profit organization that is looking for someone to manage their growing Social Media presense. The role would include maintaining and growing all social media accounts such as IG, facebook, youtube, linkedin etc as well as a few admin responsbilities such as scheduling appointments, manage the managers calendar, helping with setting up trainings etc. This is a nonprofit organization for realtors and they oversee about 1000 plus realtors that are members.

If you are good with creating content and growing a brand please apply now!

Responsibilities

Under the direction of the Chief Executive Officer (CEO), create and manage the
development and implementation of an integrated marketing and communications
strategy/plan, supporting the Association’s strategic plan.
? Develop and direct all media programs.
? Collect data from appropriate departments; measure and evaluate the association’s
brand and media coverage in alignment with the overall marketing communications
plan.
? Develop and manage media relations and public relations including the maintenance of
important relationships and development of key messages. Pro-actively place strategic
news stories that communicate the association’s messages, in significant media outlets
including social media.

? Research, write, edit, and publish releases, alerts, statements, articles, and other
materials in support of the Association’s brand/mission with the approval of the CEO.

? Responsible for approved media relations and public relations activities based on the
associations’ requirement(s).

Skills
• Written Communication
• Oral Communication
• Scheduling Appointments
• Preparing Agendas
• Working Independently
• Creating Presentations
• Microsoft Office
• Public Relations
• Content Creation
• Media Relations
• Prioritizing
• Verbal Communication
Education
• Bachelors
Qualifications
• Years of experience: 1 year
• Experience level:Entry Level
Shift: First

Working hours: 8 AM - 5 PM

Randstad is a world leader in matching great people with great companies. Our experienced agents will listen carefully to your employment needs and then work diligently to match your skills and qualifications to the right job and company. Whether you're looking for temporary, temporary-to-permanent or permanent opportunities, no one works harder for you than Randstad.

For certain assignments, Covid-19 vaccination and/or testing may be required by Randstad's client or applicable federal mandate, subject to approved medical or religious accommodations. Carefully review the job posting for details on vaccine/testing requirements or ask your Randstad representative for more information.

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status"
Media Communications,Social Media Officer,"We are looking for an experienced Social Media Officer to join our small and high performing Development & Communications team. You will develop and manage Relief International’ social media strategy, highlighting the organization’s global impact, and creating opportunities for fundraising engagement. You will create new content, and aggregate existing content for Relief International’s current social media channels; Facebook, LinkedIn, Twitter and Instagram. You will be up to date on the latest effective engagement strategies on all social media platforms, and will be constantly looking for new opportunities for engagement. RI is committed to professional development and will ensure this post has regular access to training to stay at the forefront of this fast-moving area of fundraising growth.

You will be excellent at spotting a story, and skilled at developing and editing the imagery to take that story to our audiences. You will be a skilled marketeer happy to get stuck in with the creation and implementation of comms content including video editing, photo development, and social media graphics, as well as contributing to the overall direction of Relief International’s communication campaigns as necessary.

You will work closely with team colleagues, consultants and external agencies both in the UK and USA. You will also liaise with RI colleagues globally, in differing roles from Country Directors to Communications Focal Points (CFP’s) and other program staff. Highly personable, you will be able to build relations with these colleagues who are in different time zones, from different cultures and who are working to a range of different priorities.

This role reports to the Senior Director of Development & Communications. It can be based in USA or UK and homebased, or with some days in the office in London or Washington DC each week, depending on COVID-19 restrictions. Some international travel to RI’s countries of operation to gather content may be required post COVID-19.

Key Responsibilities and Duties.

Social Media Strategy
• Develop Relief International’s social media strategy, creating content and overseeing existing social media accounts (Facebook, LinkedIn, Twitter, Instagram) with the goal of growing our presence and maximizing engagement.
• Amplify organization’s impact and success stories by developing multi-media, digital content in collaboration with communications team members and consultants/vendors, including but not limited to videos, graphics, and interactive content.

Tracking and Monitoring
• Set KPIs for upward growth, monitor social media metrics, and analyze outcomes, periodically reporting to Senior Director.
• Build a paid social media marketing campaign to assist in the amplification of key RI messaging with each stakeholder segment.
• Advise on new social media channels to create, and develop plans for implementation as necessary.
• Collaborate with development and communications team to build holistic social media programming.
• Oversee institutional response to social media engagement.
• Identify and report on local and global social trends to internal teams, and advises on potential opportunities or risks.
• Update social media style guide and escalation policy, as well as other institutional documents as necessary.
• Create and edit videos for website and social media.
• Create social media assets – reels, stories as necessary.
• Assists colleagues with social media best practices by providing tools, guidelines and trainings as needed.

Team Coordination
• Coordinate with team members to maintain RI’s editorial calendar.
• Provide crisis communication responses and recommendations when necessary.
• Manage vendor relationships as needed.
• Regularly pitch ideas for new content to senior members of the department.
• Develop strong working relations with team members in the global office and in RI’s 17 countries of operation, and have regular contact about the work in each country.
• Support other communications functions in the department as needed.
• Other related tasks that may from time to time

Safeguarding
• Uphold and promote RI’s commitment to ensuring the safeguarding and safety of the vulnerable communities we serve.
• Consistent with RI’s safeguarding and protection policies, ensure your job-related activity and practice is compliant with safeguarding standards.
• Ensure that your behaviour inside and outside of work promotes the values outlined with RI’s code of conduct and safeguarding policies
• Remain alert and responsive to any child and adult safeguarding risks, acquire relevant knowledge and skills which will enable you to promote strong safeguarding practices, understand the child and adult safeguarding policy and procedures.

Experience and skills required for the role.
• BA in Communications, Public Relations, Marketing, Journalism, International Relations or related field or equivalent work experience.
• Previous experience of donor focused communications, working for a nonprofit, media outlet, marketing or ad agency preferably in an international development context.
• Experience managing organizational social networking accounts (Facebook, Twitter, Instagram, LinkedIn, etc.)
• Experience developing, implementing, and reporting on an organization’s social media strategy.
• Strong writing skills for variety of different audiences.
• Keen interest in and knowledge of international relief and development or related fields; prior experience working at an international organization strongly preferred.
• A self-starter with demonstrated capacity for effective teamwork.
• Excellent organizational abilities with strong skill managing multiple projects.
• Strong communications skills working with diverse teams, located globally.
• Outstanding written communication and editing skills.
• Design and video editing experience using Adobe Photoshop, Premiere and After Effects, preferred.
• Email and website CMS experience (Wordpress) a plus
• Experience with Google Analytics a pluse(/)478

RI Values.

Guided by the humanitarian principles of humanity, neutrality, impartiality, and independence, as well as “Do No Harm,” Relief International Values:

We value:
• Integrity
• Adaptability
• Collaboration
• Inclusivity
• Sustainability

How to apply.
• To apply for this post, click on the “Apply” button in the job advert page
• You will be asked to upload a CV and Cover Letter. The cover letter should be no more than 2 pages long and explain why you are interested in this post with Relief International and how your skills and experience make you a good fit.

Please apply immediately we will be reviewing applicants on a rolling basis, therefore may withdraw the position for the job board closing date.

Please apply by uploading your cover letter and up-to-date CV on our website .

Due to limited resources, only short-listed candidates will be contacted

Relief International has a zero-tolerance policy for unlawful harassment, sexual exploitation and abuse. Relief International is committed to protecting our staff and the communities we work with from abuse and harm including sexual exploitation, sexual abuse and sexual harassment.

All staff are expected to abide by our Code of Conduct.

Recruitment to all roles in Relief International include a criminal records self-declaration, references and other pre-employment checks, which may include police and qualifications checks"
Media Communications,Senior Media Manager (Hybrid),"Company Description

Since 1940, Dairy Queen® has been one of the world’s best known and loved brands. Based in Minneapolis, MN, International Dairy Queen Inc., (IDQ), is the parent company of American Dairy Queen Corporation. As a leading franchisor, there are more than 7,000 independently owned and operated restaurants in the U.S., Canada and more than 20 countries around the world. IDQ is a subsidiary of Berkshire Hathaway Inc. (Berkshire) which is led by Warren Buffett, the legendary investor and CEO of Berkshire.

Here at IDQ, we create extraordinary Fan experiences every day and we do this through our commitment to hiring and retaining only the best in class talent. We firmly believe that our employees are the catalyst to the success of the company where their initiative, strategic thinking, and entrepreneurial spirit are recognized and rewarded. We're looking for motivated, passionate and dedicated individuals with an inherent need and ambition to go after bigger challenges.

Job Description

We have an exciting opportunity for a Senior Media Manager located at our corporate office in Bloomington, MN. The Senior Media Manager develops, plans, and executes the national media campaigns for American Dairy Queen. The Senior Manager is a media subject matter expert who oversees the Dairy Queen brand’s paid media efforts across TV, Audio, Social, Digital, and Online Video. The Senior Media Manager works in close contact with ADQ’s media agency to establish strategy and priorities, coordinate resource allocations, evaluate performance, and adapt to the ever-changing media landscape. The Senior Manager owns and manages media integration activations and events.

Additionally, the Senior Media Manager leads all social media marketing strategy on behalf of the DQ franchisee system. This position operates as a DQ contact overseeing the Social Media Agency of Record, and includes responsibility for DQ brand presence across social media channels (Facebook, Snapchat, Instagram, Twitter, etc.). This role is responsible for the creation of all social media strategy, overseeing one Associate Social/Digital manager who oversees all creative content for both paid and organic social.

Key Accountabilities:

Create and Align Media Strategies and Goals

Collaborate with internal marketing teams and media agencies to establish strategies and create media plans that will drive traffic and sales for Dairy Queen franchisees.

Optimize Media Plans Leveraging Data
• Partner with internal marketing leaders to ensure the media plan goals and objectives are aligned, optimized and integrated.
• Lead the analysis of media effectiveness and drive optimizations in media mix to provide maximum efficiency and effectiveness
• Partner with DQ Analytics team to leverage sales data alongside media inputs to determine ROI and effectiveness of advertising efforts by channel.
• Effectively manage agency resources, minimizing costs while maximizing results.
• Create planning timelines and establish meeting schedules for regular media plan reviews.
• Guide day-to-day execution of all media activities, ensuring timely coordination between brand, creative, media teams and agency.
• Lead all product and brand activations/events with media vendors. This includes working with internals teams to identify events that are brand right and coordinating all efforts to execute activations/events with internal cross functional teams and external vendors from start to finish.

Establish and Execute Social Content Strategy
• Contribute heavily to the development of the vision and strategies related to the DQ brand social platform and content strategies to grow engagement with current and new consumers.
• Develop and oversee content planning, development, distribution and engagement strategies customized to the unique aspects and capabilities of social platforms.
• Manage and interact with supporting agency partners, providing clear direction to ensure they deliver high-quality strategies, plans and results.
• Influence and educate internal stakeholders (brand marketing team and marketing/corporate leadership) as well as Franchisee community, by identifying, setting and sharing best practices for how to develop relationships with consumers and strengthen our brand’s pull through the use of content and social/influencer platforms.
• Provide leadership to marketing team members across the organization to drive cohesive execution of brand vision and strategy.
• Guide brand marketing team in the use of paid, owned and earned media in support of overarching marketing objectives and strategies.
• Serve as a key partner with media team and social media partners to identify and champion innovation opportunities.
• Interface with key stakeholders and influencers across the company to ensure connectivity and alignment, this includes building a collaborative process and relationship with PR, Fan Relations, Corporate Communications and Legal.
• Represent Social Media channel on cross-functional Crisis Management communications team.
• Co-lead Community Management future program development along with Fan Relations lead.
• Inform benchmarks, KPI’s and measurement plans to help teams evaluate and strengthen activations.
• Establish process for system-wide Local Store Marketing and DMA best practices in Social Media marketing.

Other duties
• Gain deep understanding of target audiences and competitive landscape to create relevant and effective marketing campaigns.
• Manage the entire media budget, including invoice approval and tracking. Work closely with the finance team to ensure invoices are paid on time and that all media is coming in on budget.
• Complete other tasks as new opportunities arise.

Qualifications

Education/Experience:
• Bachelor’s Degree in Marketing, Advertising, Communications or related field required. MBA a plus
• Minimum of 5-8 years of traditional and non-traditional media experience working in or with a media agency or a in a media role within a B2C company.
• Quick Service Restaurant (QSR) experience is preferred, but not required.
• Proven ability to develop and manage paid media plans that meet and/or exceed business objectives.
• Proven experience leading and managing the planning and execution of traditional media (TV & Radio), programmatic, OTT, digital and social media planning and placement at both national and local levels.
• Demonstrated ability to develop effective media strategy.
• Experience and comfort reviewing and analyzing consumer insights data to identify key strategic media opportunities.
• Proven experience planning and executing brand marketing activations/events.

Skills
• Deep knowledge about digital marketing communications
• Content strategy and planning experience
• Hands-on expertise with social platform especially Facebook, Instagram, Twitter, Snapchat and Pinterest
• Ability to lead and manage parallel projects and work effectively with multiple stakeholders.
• Innovative thinker, collaborative team player and strong communicator.
• Strong project and resource management skills
• Highly effective formal communication skills. Able to clearly communicate priorities, opportunities, guidelines and rationale for decisions taken, to both technical and non-technical audiences, using multiple formats. Ability to convey complex subjects to ‘clients’ in an understandable way.
• Experience managing media agencies and social content production.
• Remains very current on the latest media and social content trends.

Additional Information

All your information will be kept confidential according to EEO guidelines. You must be work authorized in the United States without the need for employer sponsorship.

Benefit package includes medical, dental and vision insurance coverage, employer paid basic life insurance, short and long-term disability, paid sick and vacation, 401(k) match, tuition reimbursement, wellness challenges and more!

IDQ is an Equal Opportunity Employer that values the strength diversity brings to the workplace. IDQ participates in the US E-Verify program. You must be work authorized in the United States without the need for employer sponsorship"
Sales and Retail,Wireless Retail Sales Associate - US W2075,"Overview:

WIRELESS SALES ASSOCIATE (MOBILE EXPERT) - EARN UP To $18/hr (and potential to make more

Who are we?

OSL is a dynamic, people-driven company providing outsourced sales services for some of North America’s biggest Fortune 500 companies. We hire passionate people looking for their next big career challenge. Our culture is our foundation. Passionate employees, great customer service and long-term relationships is the foundation of the OSL Family.

The Situation:

Walmart USA has teamed up with OSL to run Walmart Wireless locations across the country. And we’re growing at light-speed which is why we are now hiring wireless sales associates. Have fun while being the best at selling the latest mobile technology. You will have unlimited earning potential with base pay and uncapped commission!

Here’s where you come in:

Yeah you, our shiny new Wireless Expert. You’re the go-to guru to connect customers with their perfect wireless solutions. Why? Because you’re hungry to sell and know amazing customer service. You’re up to date on mobile tech trends and you have a hustle-hard personality. Good thing, too. This is your chance to grow with us and take the next big step in your career.

You’ll do this by:
• Delivering five-star customer service, finding the perfect solutions for everyone
• Process new activations, upgrades and sales of wireless devices and accessories
• Merchandizing and handling inventory, opening and closing the store
• Working like a champ whether you’re solo or supported by an awesome team

Good thing you have what it takes:
• You are 18 years or older
• 10/10 customer service and communication skills and a high-energy, positive attitude
• Solid sales or retail experience (an asset, but not required)
• Decent working knowledge of wireless technology and trends
• Full-time flexible availability

So, what does OSL offer you?
• Competitive hourly pay plus uncapped commission - Earn 35-45k annually (and potential to make more!)
• Personal in-store and online LMS training – we’ll set you up for success!
• Real career growth, recognition, advancement & the chance to become an important part of a cool, fast-growing company
• Generous employee referral program

OSL offers much more than the “Usual” employee benefits, we also offer every employee:
• OSL believes that no one should wait to pay day which is why we offer daily access to your funds via Dailypay & Wisely cards.
• OSL has partnered with Franklin University offering every employee the chance to further their education online
• Discount Programs

Sounds like a good fit? Let’s talk.

For more info before submitting your application, contact us: careers@oslrs.com

At OSL, we celebrate difference. We’ve committed to fostering an inclusive and accessible workplace where everyone feels valued, supported, and reaches their full potential.

OSL is committed to an inclusive workplace that does not discriminate against race, nationality, religion, age, marital status, physical or mental disability, sexual orientation, gender, or gender identity. We believe in diversity and encourage any qualified individual to apply. We are an EEOC Employer"
Sales and Retail,Retail Sales Associate,"SPEED & SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine. Applying for a job at PUMA is easy and all genders are welcome. Simply click APPLY ONLINE and follow the steps to upload your application.
• Accountable for ensuring individual performance consistently achieves or exceeds sales, KPIs and profitability goals through the effective servicing of customers.
• Provide consistently high standards of customer experience within the Store in accordance with PUMA’s Brand Values and service standards.
• Successfully complete all training programs (required per the Role), both Domestic and Global to drive results within the store.
• Attend and participate in Loss Prevention education, training and awareness programs.
• Responsible for Loss Prevention and Operational compliance within store.
• Communicate merchandise opportunities to Store Management team.
• Participate in new store openings and/or store closings; travel may be required.
• Responsible for accurately processing sales transactions at the cash desk, with proper operation of the POS system, handling forms of tender with accuracy and respect, and ensuring proper discounts are applied when applicable.
• Responsible for execution and processing of both incoming and outgoing merchandise.
• Accountable for ensuring execution and maintenance of all Visual guideline as well as guaranteeing the visual presentation of the Store always meets or exceeds PUMA standards.
• Maintain physical condition of Store according to relevant guidelines and communicate maintenance needs to Store Management in a timely manner.
• Required to comply with all Policies & Procedures, operational core competencies and key accountabilities.
• Abide by all requirements necessary to maintain a safe and compliant working and shopping environment; required to report all instances when this is not achieved to a member of the management team.
• Required to work non-traditional hours; weekends, evenings, holidays; overtime may be required in this position.
• One to two years’ experience in a focused, customer service oriented retail environment (preferably apparel/footwear) with results driven track record
• Proven ability to exceed sales goals, (previous work in a commission based position preferable), demonstrated ability to provide high levels of customer service, ability to reason through complex issues, demonstrates effective communication, ability to present information to large groups
• The ability to constantly walk and move about is required. This role involves frequent stationary standing, reaching, bending/twisting of head, maintaining balance while walking, occasional kneeling, crouching, climbing, bending/stooping at waist/torso and sitting to assist customers, pushing/pulling equipment such as shelving bays, dollies, carts, and racks with up to 20 pounds of force as well as lifting/carrying/placing boxes of product up to 30 pounds in weight at heights up to 131 inches while using a ladder.
• The role requires using ladder/step stool equipment, and maintaining the organization and cleanliness of the sales and stock area are also required. Environmental factors of action include operation of foot controls for operating mobile stock shelving bays and exposure to working at heights.
• Use of the following senses are critical to this position: speaking, hearing, near & far acuity, depth perception and field of vision.
• Cognitive factors critical to this function are: reading comprehension, basic math calculations, writing, complex problem solving and basic computer work"
